code,system
G2...00,readv2
G2...11,readv2
G21z011,readv2
G20..00,readv2
G201.00,readv2
G20z.00,readv2
G200.00,readv2
G240.00,readv2
G240z00,readv2
G202.00,readv2
G20z.11,readv2
G2z..00,readv2
3053HT,oxmis
4000,oxmis
4003,oxmis
401 A,oxmis
401 AC,oxmis
401 AR,oxmis
401 AT,oxmis
401 BM,oxmis
401 C,oxmis
401 DC,oxmis
401 LB,oxmis
401 S,oxmis
402 VH,oxmis
403 AH,oxmis
403 NG,oxmis
4120BD,oxmis
4360B,oxmis
4360D,oxmis
4380HP,oxmis
4419H,oxmis
G21..00,readv2
G210.00,readv2
G210000,readv2
G210100,readv2
G210z00,readv2
G211.00,readv2
G211000,readv2
G211100,readv2
G21z.00,readv2
G21z000,readv2
G21z100,readv2
G21zz00,readv2
G22..00,readv2
G220.00,readv2
G221.00,readv2
G222.00,readv2
G22z.00,readv2
G22z.11,readv2
G23..00,readv2
G230.00,readv2
G231.00,readv2
G232.00,readv2
G233.00,readv2
G234.00,readv2
G23z.00,readv2
Gyu2100,readv2
L121.00,readv2
L121z00,readv2
G24..00,readv2
G241.00,readv2
G241z00,readv2
G244.00,readv2
G24z.00,readv2
G24zz00,readv2
G240000,readv2
G241000,readv2
G24z000,readv2
G2y..00,readv2
Gyu2000,readv2
L120.00,readv2
L120000,readv2
L120400,readv2
L120z00,readv2
L121000,readv2
L122.00,readv2
L122000,readv2
L122z00,readv2
L120100,readv2
L120300,readv2
L121100,readv2
L121300,readv2
L122100,readv2
L122300,readv2
L128.00,readv2
L128200,readv2
4003AA,oxmis
403,oxmis
403 AA,oxmis
403 NC,oxmis
401,oxmis
401 BN,oxmis
401 E,oxmis
401 EL,oxmis
401 P,oxmis
401 PA,oxmis
402,oxmis
402 C,oxmis
402 MF,oxmis
403 NF,oxmis
4120,oxmis
4100N,oxmis
4100NA,oxmis
4100T,oxmis
4330,oxmis
4120A,oxmis
4120M,oxmis
4140,oxmis
4370,oxmis
4120CA,oxmis
4130,oxmis
4130E,oxmis
4300,oxmis
4310,oxmis
4340,oxmis
4340CR,oxmis
4360A,oxmis
4380,oxmis